id_poliza,id_asegurado,ramo,fecha_inicio,fecha_fin,prima,suma_asegurada,deducible,canal_venta,ciudad,estado_poliza
POL-00232,ASE-0020,Vida,2024-02-02,2025-02-01,1233.21,25764.91,613.16,Broker,Manta,Vigente
POL-00233,ASE-0174,Generales,2024-02-21,2025-02-20,1045.12,39497.98,481.74,Digital,Ambato,Cancelada
POL-00234,ASE-0177,Vehiculos,2025-07-15,2026-07-15,1022.8,28880.39,440.41,Digital,Quito,Vigente
POL-00235,ASE-0060,Vehiculos,2023-11-14,2024-11-13,1556.56,30081.61,419.66,Digital,Manta,Cancelada
POL-00236,ASE-0199,Vida,2024-02-05,2025-02-04,1775.39,26516.74,513.07,Agente,Loja,Vencida
POL-00237,ASE-0126,Salud,2023-10-18,2024-10-17,1785.32,33727.14,385.07,Digital,Manta,Vencida
POL-00238,ASE-0048,Generales,2023-11-25,2024-11-24,1833.36,33831.24,450.47,Directo,Quito,Cancelada
POL-00239,ASE-0064,Vehiculos,2024-08-31,2025-08-31,680.55,38820.76,536.02,Agente,Cuenca,Vigente
POL-00240,ASE-0183,Salud,2024-03-10,2025-03-10,1248.18,41816.78,586.58,Directo,Cuenca,Vencida
POL-00241,ASE-0024,Vehiculos,2025-09-21,2026-09-21,698.41,24351.66,424.55,Digital,Ambato,Vencida
POL-00242,ASE-0027,Salud,2024-10-22,2025-10-22,1551.28,16005.97,520.97,Agente,Guayaquil,Vencida
POL-00243,ASE-0143,Generales,2023-10-21,2024-10-20,1577.94,41302.97,452.62,Directo,Quito,Vigente
POL-00244,ASE-0091,Generales,2025-10-26,2026-10-26,1662.61,18318.95,603.94,Agente,Manta,Cancelada
POL-00245,ASE-0099,Vehiculos,2024-07-02,2025-07-02,663.58,26918.62,589.19,Digital,Ambato,Vencida
POL-00246,ASE-0186,Generales,2025-11-05,2026-11-05,695.88,21877.54,566.68,Broker,Manta,Cancelada
POL-00247,ASE-0176,Hogar,2025-05-15,2026-05-15,1516.85,34234.43,558.18,Broker,Guayaquil,Vencida
POL-00248,ASE-0069,Hogar,2024-08-19,2025-08-19,1261.52,22553.97,453.71,Broker,Quito,Vigente
POL-00249,ASE-0071,Hogar,2023-11-19,2024-11-18,741.5,42253.52,525.02,Digital,Ambato,Vigente
POL-00250,ASE-0065,Salud,2024-04-18,2025-04-18,1057.23,28860.17,634.19,Directo,Manta,Cancelada
POL-00251,ASE-0118,Vehiculos,2025-03-23,2026-03-23,700.83,32586.89,501.77,Broker,Cuenca,Vigente
POL-00252,ASE-0086,Generales,2024-02-07,2025-02-06,1360.49,15543.31,611.64,Directo,Ibarra,Vencida
POL-00253,ASE-0086,Hogar,2023-11-08,2024-11-07,1822.25,31954.0,559.0,Broker,Cuenca,Vencida
POL-00254,ASE-0123,Vida,2025-03-12,2026-03-12,1808.4,36217.16,395.76,Broker,Ambato,Vencida
POL-00255,ASE-0189,Hogar,2024-09-08,2025-09-08,1309.86,33201.45,477.24,Broker,Cuenca,Vencida
POL-00256,ASE-0101,Vida,2024-09-30,2025-09-30,1540.48,43031.01,627.67,Agente,Manta,Vigente
POL-00257,ASE-0175,Generales,2025-04-24,2026-04-24,1129.21,18397.14,645.45,Agente,Loja,Vencida
POL-00258,ASE-0113,Vida,2025-02-22,2026-02-22,1688.01,18739.88,626.25,Agente,Ibarra,Vencida
POL-00259,ASE-0036,Vida,2023-07-10,2024-07-09,1732.65,30565.14,527.38,Broker,Cuenca,Cancelada
POL-00260,ASE-0184,Hogar,2025-06-16,2026-06-16,1054.56,16642.85,450.56,Directo,Quito,Vencida
POL-00261,ASE-0150,Hogar,2023-08-20,2024-08-19,1636.11,15138.96,450.05,Directo,Manta,Vigente
POL-00262,ASE-0180,Generales,2024-04-21,2025-04-21,1053.36,31121.87,625.96,Agente,Quito,Vigente
POL-00263,ASE-0043,Generales,2024-04-30,2025-04-30,978.74,25408.6,571.25,Agente,Manta,Cancelada
POL-00264,ASE-0193,Vida,2024-01-30,2025-01-29,1131.19,21738.14,485.73,Directo,Quito,Vigente
POL-00265,ASE-0067,Salud,2025-10-08,2026-10-08,682.83,20291.61,499.51,Broker,Ambato,Vencida
POL-00266,ASE-0119,Generales,2024-02-16,2025-02-15,1083.25,42445.38,458.72,Broker,Cuenca,Vigente
POL-00267,ASE-0027,Vida,2023-08-13,2024-08-12,1316.05,33967.93,353.93,Directo,Quito,Vigente
POL-00268,ASE-0090,Vida,2025-07-11,2026-07-11,1435.49,20341.08,638.32,Digital,Ambato,Vigente
POL-00269,ASE-0090,Hogar,2023-08-12,2024-08-11,694.07,27438.72,375.6,Agente,Ambato,Cancelada
POL-00270,ASE-0082,Vehiculos,2023-10-14,2024-10-13,1915.5,30065.85,528.62,Digital,Quito,Cancelada
POL-00271,ASE-0006,Vida,2025-09-04,2026-09-04,576.59,37498.81,412.97,Agente,Loja,Vigente
POL-00272,ASE-0133,Salud,2024-12-14,2025-12-14,1773.2,21154.19,407.21,Broker,Cuenca,Cancelada
POL-00273,ASE-0119,Salud,2023-12-06,2024-12-05,532.63,29162.01,519.45,Directo,Loja,Vigente
POL-00274,ASE-0164,Hogar,2025-04-11,2026-04-11,574.62,38265.83,485.99,Directo,Quito,Cancelada
POL-00275,ASE-0116,Generales,2025-03-19,2026-03-19,1235.12,28222.88,470.23,Directo,Ambato,Vigente
POL-00276,ASE-0053,Vida,2025-02-12,2026-02-12,1285.88,19657.21,404.58,Agente,Manta,Vigente
POL-00277,ASE-0094,Vida,2025-04-10,2026-04-10,1720.97,43383.46,461.99,Broker,Ambato,Vigente
POL-00278,ASE-0172,Hogar,2024-11-06,2025-11-06,869.87,34319.99,472.62,Digital,Manta,Vencida
POL-00279,ASE-0151,Vehiculos,2024-02-14,2025-02-13,516.56,19684.58,564.79,Digital,Cuenca,Vencida
POL-00280,ASE-0173,Vida,2025-05-09,2026-05-09,1428.85,15812.88,416.59,Agente,Loja,Vigente
POL-00281,ASE-0031,Salud,2024-07-25,2025-07-25,812.75,35156.78,355.91,Digital,Quito,Vigente
POL-00282,ASE-0178,Salud,2024-03-24,2025-03-24,629.92,38997.48,403.56,Directo,Ambato,Cancelada
POL-00283,ASE-0148,Hogar,2025-07-19,2026-07-19,1419.95,22145.48,379.83,Directo,Guayaquil,Vencida
POL-00284,ASE-0143,Salud,2025-05-08,2026-05-08,830.17,36668.01,606.71,Directo,Cuenca,Vigente
POL-00285,ASE-0081,Hogar,2025-04-09,2026-04-09,1675.52,26915.51,550.43,Agente,Ibarra,Vencida
POL-00286,ASE-0125,Salud,2026-04-08,2027-04-08,775.18,23794.43,618.9,Broker,Ibarra,Vencida
POL-00287,ASE-0168,Hogar,2023-06-27,2024-06-26,498.72,17565.26,412.37,Directo,Loja,Vencida
POL-00288,ASE-0182,Hogar,2023-12-28,2024-12-27,518.21,20443.06,524.91,Directo,Guayaquil,Vigente
POL-00289,ASE-0195,Salud,2026-02-23,2027-02-23,1086.85,41780.15,595.23,Digital,Quito,Vencida
POL-00290,ASE-0138,Vida,2025-01-22,2026-01-22,972.22,22782.7,463.91,Broker,Ibarra,Vencida
POL-00291,ASE-0141,Generales,2023-07-18,2024-07-17,1330.02,23041.91,537.24,Agente,Manta,Vigente
POL-00292,ASE-0199,Generales,2024-10-26,2025-10-26,1069.55,31561.42,480.84,Digital,Manta,Vigente
POL-00293,ASE-0140,Salud,2023-11-06,2024-11-05,904.03,43453.6,579.08,Directo,Quito,Cancelada
POL-00294,ASE-0077,Vehiculos,2024-12-07,2025-12-07,681.76,41054.04,496.23,Directo,Cuenca,Vencida
POL-00295,ASE-0113,Vehiculos,2025-10-31,2026-10-31,1768.16,38995.66,477.56,Broker,Guayaquil,Cancelada
POL-00296,ASE-0182,Generales,2024-05-09,2025-05-09,512.36,23060.32,512.49,Directo,Guayaquil,Cancelada
POL-00297,ASE-0053,Salud,2025-07-16,2026-07-16,1392.21,22736.63,391.81,Agente,Manta,Vencida
POL-00298,ASE-0153,Generales,2024-09-29,2025-09-29,1682.3,44532.07,507.71,Broker,Cuenca,Cancelada
POL-00299,ASE-0075,Generales,2024-09-05,2025-09-05,727.22,23169.22,355.52,Digital,Ibarra,Cancelada
POL-00300,ASE-0035,Hogar,2025-10-14,2026-10-14,1796.59,18532.53,522.95,Agente,Cuenca,Cancelada
